id,name,metropolis,street,houseNumber,postalCode,city,state,country,stationCategory,owner,organisationalUnit,countryCode,latitude,longitude,timeZone
5972,Stauchitz,{},Bahnhofsberg,3,01594,Stauchitz,Sachsen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.242914,13.21192,Europe/Berlin
5973,Staudernheim,{},Bahnhofstr.,1,55568,Staudernheim,Rheinland-Pfalz,DE,CATEGORY_5,DB S&S,RB Mitte,DE,49.780582,7.693103,Europe/Berlin
5975,Stederdorf (Kr Uelzen),{},Bahnhofstr.,76,29559,Wrestedt,Niedersachsen,DE,CATEGORY_7,DB S&S,RB Nord,DE,52.907428,10.592702,Europe/Berlin
5977,Stegenwaldhaus,{},Am Bahnhof,,95152,Selbitz,Bayern,DE,CATEGORY_7,DB S&S,RB Süd,DE,50.31626,11.796809,Europe/Berlin
5978,Stein (Traun),{},Fischergasse,,83301,Traunreut,Bayern,DE,CATEGORY_6,DB Regio-Netze,Südostbayernbahn (SOB),DE,,,Europe/Berlin
5980,Steina,{},Dorfstraße,1,04746,Hartha,Sachsen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.103359,13.022657,Europe/Berlin
5981,Steinach (b Rothenburg o.d. Tauber),{},Bahnhofstr.,21,91605,Gallmersgarten,Bayern,DE,CATEGORY_4,DB S&S,RB Süd,DE,49.453218,10.273535,Europe/Berlin
5982,Steinach (Baden),{},Hauptstr.,3,77790,Steinach ,Baden-Württemberg,DE,CATEGORY_6,DB S&S,RB Südwest,DE,48.298992,8.056469,Europe/Berlin
5983,Steinach (Thür),{},Am Bahnhof,1,96523,Steinach (Thür),Thüringen,DE,CATEGORY_7,DB S&S,RB Südost,DE,50.432724,11.158644,Europe/Berlin
5984,Steinalben,{},Bahnhofstr.,1,66851,Steinalben,Rheinland-Pfalz,DE,CATEGORY_7,DB S&S,RB Mitte,DE,49.3162405,7.65161276,Europe/Berlin
5986,Steinau (Straße),{},Bahnhofstraße,40,36396,Steinau an der Straße,Hessen,DE,CATEGORY_5,DB S&S,RB Mitte,DE,50.314349,9.443162,Europe/Berlin
5987,Friedrichshafen Flughafen,{},Am Flugplatz,64,88046,Meckenbeuren,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,47.672213,9.523714,Europe/Berlin
5989,Steinbach a Wald,{},Otto-Wiegand-Str.,7,96361,Steinbach a Wald,Bayern,DE,CATEGORY_5,DB S&S,RB Süd,DE,50.441648,11.382922,Europe/Berlin
599,Beucha,{},August-Bebel-Str.,62,04821,Brandis,Sachsen,DE,CATEGORY_6,DB S&S,RB Südost,DE,51.32362,12.573133,Europe/Berlin
5990,Steinbach-Hallenberg,{},Bahnhofstr.,1,98587,Steinbach-Hallenberg,Thüringen,DE,CATEGORY_6,DB S&S,RB Südost,DE,50.693163,10.558086,Europe/Berlin
5991,Steinebach,{},Bahnhofstrße,2,82237,Wörthsee,Bayern,DE,CATEGORY_6,DB S&S,RB Süd,DE,48.061184,11.206812,Europe/Berlin
5992,Steinefrenz,{},Am Bahnhof,1,56414,Steinefrenz,Rheinland-Pfalz,DE,CATEGORY_6,DB S&S,RB Mitte,DE,50.44842,7.938888,Europe/Berlin
5993,Steinen,{},Bahnhofstr.,3,79585,Steinen,Baden-Württemberg,DE,CATEGORY_5,DB S&S,RB Südwest,DE,47.641604,7.741561,Europe/Berlin
