id,name,availableTransports,transportAssociations,countryCode,state,timeZone,latitude,longitude
2821,Hofen(b Aalen),"['REGIONAL_TRAIN', 'BUS']",['OAM'],DE,BW,Europe/Berlin,48.872692,10.114407
2823,Hoffenheim,"['REGIONAL_TRAIN', 'CITY_TRAIN']","['HNV', 'VRN']",DE,BW,Europe/Berlin,49.272037,8.838411
2824,Hoffnungsthal,"['REGIONAL_TRAIN', 'BUS']",['VRS'],DE,NW,Europe/Berlin,50.911363,7.196513
2825,Hofgeismar,"['REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']",['NVV'],DE,HE,Europe/Berlin,51.499186,9.395461
2826,Hofheim (Ried),"['REGIONAL_TRAIN', 'BUS']",['VRN'],DE,HE,Europe/Berlin,49.659467,8.40897
2827,Hofheim(Taunus),"['REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']",['RMV'],DE,HE,Europe/Berlin,50.084471,8.443842
2829,Höfingen,['CITY_TRAIN'],['VVS'],DE,BW,Europe/Berlin,48.814986,9.025315
283,Bad Höhenstadt,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,48.494606,13.323195
2830,Hohegrete,['REGIONAL_TRAIN'],"['VRM', 'VRS']",DE,RP,Europe/Berlin,50.76484,7.642228
2832,Hohen Neuendorf(b Berlin),"['BUS', 'CITY_TRAIN']",['VBB'],DE,BB,Europe/Berlin,52.669072,13.287091
2833,Hohen Neuendorf West,['REGIONAL_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.672398,13.271342
2834,Hosena,['REGIONAL_TRAIN'],"['VBB', 'VVO']",DE,BB,Europe/Berlin,51.454706,14.016105
2835,Hohenbrunn,"['BUS', 'CITY_TRAIN']",['MVV'],DE,BY,Europe/Berlin,48.046572,11.698872
2837,Krefeld-Hohenbudberg Chempark,"['REGIONAL_TRAIN', 'BUS']",['VRR'],DE,NW,Europe/Berlin,51.373529,6.66446
284,Bad Homburg,"['REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']",['RMV'],DE,HE,Europe/Berlin,50.219904,8.620624
2840,Hohenebra Ort,"['REGIONAL_TRAIN', 'BUS']",[],DE,TH,Europe/Berlin,51.3060697,10.8095008
2841,Hoheneggelsen,['REGIONAL_TRAIN'],['IAM'],DE,NI,Europe/Berlin,52.200177,10.19782
2843,Hamburg Hoheneichen,"['BUS', 'CITY_TRAIN']","['IAM', 'SH', 'HVV']",DE,HH,Europe/Berlin,53.635478,10.067648
2845,Hohenfichte,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.822064,13.133981
2847,Höhenkirchen-Siegertsbrunn,"['BUS', 'CITY_TRAIN']",['MVV'],DE,BY,Europe/Berlin,48.018465,11.719226
2849,Hohenleipisch,['REGIONAL_TRAIN'],['VBB'],DE,BB,Europe/Berlin,51.492756,13.564969
285,Bad Honnef(Rhein),['REGIONAL_TRAIN'],['VRS'],DE,NW,Europe/Berlin,50.639772,7.219533
2850,Hohenleuben,"['REGIONAL_TRAIN', 'BUS']",[],DE,TH,Europe/Berlin,50.7026891,12.0364022
2851,Hohenlimburg,"['REGIONAL_TRAIN', 'BUS']","['VRR', 'WT']",DE,NW,Europe/Berlin,51.348854,7.571686
2856,Hohenpeißenberg,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,47.788795,10.999251
2857,Hohenroda,['CITY_TRAIN'],"['NASA', 'MDV']",DE,SN,Europe/Berlin,51.499026,12.421434
2858,Hohenschäftlarn,['CITY_TRAIN'],['MVV'],DE,BY,Europe/Berlin,47.991299,11.457513
286,Bad Hönningen,['REGIONAL_TRAIN'],"['VRM', 'VRS']",DE,RP,Europe/Berlin,50.513676,7.310871
2861,Hohenstadt(Mittelfr),['REGIONAL_TRAIN'],['VGN'],DE,BY,Europe/Berlin,49.518339,11.491465
2862,Hohenstein-Ernstthal,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.798548,12.706564
2863,Hohenthurm,"['REGIONAL_TRAIN', 'CITY_TRAIN']","['NASA', 'MDV']",DE,ST,Europe/Berlin,51.512359,12.097881
2864,Hohenwestedt,['REGIONAL_TRAIN'],['SH'],DE,SH,Europe/Berlin,54.086589,9.654161
2865,Hohenwulsch,['REGIONAL_TRAIN'],['NASA'],DE,ST,Europe/Berlin,52.667319,11.595136
2866,Berlin Hohenzollerndamm,['CITY_TRAIN'],['VBB'],DE,BE,Europe/Berlin,52.488556,13.300257
2868,Höhmühlbach,['REGIONAL_TRAIN'],['VRN'],DE,RP,Europe/Berlin,49.243893,7.526028
2869,Holdorf(Meckl),['REGIONAL_TRAIN'],[],DE,MV,Europe/Berlin,53.7348,11.065701
287,Bad Karlshafen,['REGIONAL_TRAIN'],"['VSN', 'IAM', 'WT', 'NVV']",DE,HE,Europe/Berlin,51.64627,9.44571
2870,Holdorf(Oldb),['REGIONAL_TRAIN'],['IAM'],DE,NI,Europe/Berlin,52.574971,8.138367
2871,Teltow Stadt,['CITY_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.396906,13.276623
2872,Höllenthal,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,50.3638,11.683818
2873,Höllriegelskreuth,['CITY_TRAIN'],['MVV'],DE,BY,Europe/Berlin,48.043452,11.509752
2875,Holm-Seppensen,['REGIONAL_TRAIN'],"['IAM', 'HVV']",DE,NI,Europe/Berlin,53.284812,9.870008
2876,Holtensen/Linderte,['CITY_TRAIN'],"['IAM', 'GVH']",DE,NI,Europe/Berlin,52.271953,9.653221
2877,Holthusen,['REGIONAL_TRAIN'],[],DE,MV,Europe/Berlin,53.555831,11.364809
2879,Rosendahl-Holtwick,['REGIONAL_TRAIN'],['WT'],DE,NW,Europe/Berlin,51.998391,7.122568
288,Bad Kissingen,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,50.191547,10.079885
2880,Holzdorf(b Weimar),"['REGIONAL_TRAIN', 'BUS']",['VMT'],DE,TH,Europe/Berlin,50.9418686,11.2771949
2881,Holzdorf(Elster),['REGIONAL_TRAIN'],"['NASA', 'VBB', 'MDV']",DE,ST,Europe/Berlin,51.780291,13.114137
2883,Holzhau,['REGIONAL_TRAIN'],['VMS'],DE,SN,Europe/Berlin,50.7341396,13.5918608
2884,Holzhausen(Kr Siegen),['REGIONAL_TRAIN'],['WT'],DE,NW,Europe/Berlin,50.739322,8.135495
2885,Leipzig-Holzhausen,['REGIONAL_TRAIN'],"['NASA', 'MDV']",DE,SN,Europe/Berlin,51.306041,12.461448
2886,Bad Holzhausen,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,52.289097,8.545854
2887,Holzheim(b Neuss),['REGIONAL_TRAIN'],"['VRS', 'VRR']",DE,NW,Europe/Berlin,51.165653,6.664626
2888,Holzkirchen,"['REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']",['MVV'],DE,BY,Europe/Berlin,47.884384,11.697234
2889,Holzminden,['REGIONAL_TRAIN'],"['VSN', 'IAM', 'WT']",DE,NI,Europe/Berlin,51.820268,9.453743
289,Bad Kleinen,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'BUS', 'HIGH_SPEED_TRAIN']",[],DE,MV,Europe/Berlin,53.766974,11.466925
2890,Holzwickede,"['REGIONAL_TRAIN', 'BUS']","['VRR', 'WT']",DE,NW,Europe/Berlin,51.504767,7.619647
2892,Homburg(Saar)Hbf,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN', 'HIGH_SPEED_TRAIN', 'CITY_TRAIN']","['VRN', 'SAARVV']",DE,SL,Europe/Berlin,49.328082,7.337035
2893,Wildeck-Hönebach,['REGIONAL_TRAIN'],['NVV'],DE,HE,Europe/Berlin,50.935432,9.944241
2895,Honrath,"['REGIONAL_TRAIN', 'BUS']",['VRS'],DE,NW,Europe/Berlin,50.910589,7.252882
2897,Hopfgarten(Weimar),"['REGIONAL_TRAIN', 'BUS']",['VMT'],DE,TH,Europe/Berlin,50.9842281,11.2211931
2898,Hopfgarten(Sachs),['REGIONAL_TRAIN'],"['NASA', 'MDV']",DE,SN,Europe/Berlin,51.105574,12.662693
2899,Höpfling,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,47.811226,12.651162
29,Ahrensfelde Friedhof,['REGIONAL_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.580882,13.573316
290,Bad Kohlgrub,"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,47.668006,11.058204
2900,Hoppecke,['REGIONAL_TRAIN'],['WT'],DE,NW,Europe/Berlin,51.378059,8.640059
2901,Hoppegarten(Mark),['CITY_TRAIN'],['VBB'],DE,BB,Europe/Berlin,52.518122,13.672956
2904,Hoppingen,['REGIONAL_TRAIN'],[],DE,BY,Europe/Berlin,48.803817,10.653198
2905,Hoppstädten(Nahe),"['REGIONAL_TRAIN', 'BUS']",['RNN'],DE,RP,Europe/Berlin,49.615527,7.195011
2906,Horb,"['INTERCITY_TRAIN', 'REGIONAL_TRAIN']","['VGF', 'NALDO']",DE,BW,Europe/Berlin,48.441471,8.688982
291,Bad Kohlgrub Kurhaus,"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,47.670213,11.039181
2910,Horka,['REGIONAL_TRAIN'],['ZVON'],DE,SN,Europe/Berlin,51.303985,14.902088
2911,Hörlkofen,['REGIONAL_TRAIN'],['MVV'],DE,BY,Europe/Berlin,48.242591,11.942341
2912,Horn-Bad Meinberg,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,51.881518,8.955092
2913,Hornberg(Schwarzw),"['INTERCITY_TRAIN', 'REGIONAL_TRAIN']",['TGO'],DE,BW,Europe/Berlin,48.211895,8.23294
2915,Horneburg,"['REGIONAL_TRAIN', 'CITY_TRAIN']","['IAM', 'HVV']",DE,NI,Europe/Berlin,53.508677,9.57655
2917,Hornstorf,['REGIONAL_TRAIN'],[],DE,MV,Europe/Berlin,53.906688,11.534673
2918,Hörpolding,"['REGIONAL_TRAIN', 'BUS']",[],DE,BY,Europe/Berlin,47.964138,12.568261
2919,Horrem,"['REGIONAL_TRAIN', 'BUS', 'CITY_TRAIN']",['VRS'],DE,NW,Europe/Berlin,50.916249,6.713497
292,Bad König,"['REGIONAL_TRAIN', 'BUS']","['VRN', 'RMV']",DE,HE,Europe/Berlin,49.738577,9.001539
2920,Hörschel Hp,['REGIONAL_TRAIN'],[],DE,TH,Europe/Berlin,51.007795,10.233271
2923,Hörstel,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,52.295686,7.591557
2924,Hörstmar(Lippe),['REGIONAL_TRAIN'],['WT'],DE,NW,Europe/Berlin,52.012502,8.844978
2925,Hösbach,['REGIONAL_TRAIN'],"['VAB', 'RMV']",DE,BY,Europe/Berlin,49.999713,9.229008
2926,Hösel,"['BUS', 'CITY_TRAIN']",['VRR'],DE,NW,Europe/Berlin,51.341521,6.893231
2927,Hövelhof,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,51.823991,8.661685
2928,Hövelriege,"['REGIONAL_TRAIN', 'BUS']",['WT'],DE,NW,Europe/Berlin,51.865123,8.642067
2930,Höxter Rathaus,['REGIONAL_TRAIN'],['WT'],DE,NW,Europe/Berlin,51.772604,9.381918
2931,Hoyerswerda,['REGIONAL_TRAIN'],"['ZVON', 'VVO']",DE,SN,Europe/Berlin,51.432788,14.231407
2932,Hoyerswerda-Neustadt,['REGIONAL_TRAIN'],"['ZVON', 'VVO']",DE,SN,Europe/Berlin,51.429086,14.266683
