id,description,operatorname,state,stateExplanation,type
4266,zu Gleis 9/10 Abschnitt D,DB Station&Service,ACTIVE,available,ELEVATOR
4266,zu Gleis 7/8 Abschnitt B,DB Station&Service,ACTIVE,available,ELEVATOR
4266,zu Gleis 5/6 Abschnitt B,DB Station&Service,ACTIVE,available,ELEVATOR
4266,"Fahrtreppe, Gleis 7/8",DB Station&Service,ACTIVE,available,ESCALATOR
4266,"Fahrtreppe, Gleis 7/8",DB Station&Service,ACTIVE,available,ESCALATOR
4266,"Fahrtreppe, Gleis 5/6",DB Station&Service,ACTIVE,available,ESCALATOR
4266,"Fahrtreppe, Gleis 5/6",DB Station&Service,ACTIVE,available,ESCALATOR
4266,Nicht Reisendenrelevant,DB Station&Service,ACTIVE,available,ELEVATOR
4266,von EG zu UG,DB Station&Service,ACTIVE,available,ELEVATOR
4266,von EG zu Tunnel,DB Station&Service,UNKNOWN,monitoring disrupted,ELEVATOR
4266,zu Gleis 3/4,DB Station&Service,UNKNOWN,monitoring disrupted,ESCALATOR
4266,zu Gleis 3/4,DB Station&Service,ACTIVE,available,ESCALATOR
4266,zu Gleis 9/10,DB Station&Service,ACTIVE,available,ESCALATOR
4266,zu Gleis 9/10,DB Station&Service,ACTIVE,available,ESCALATOR
4267,"Mittelbahnsteig, Gleis 1/2",DB Station&Service,ACTIVE,available,ELEVATOR
4267,Vorplatz bei EG,DB Station&Service,ACTIVE,available,ELEVATOR
4271,zu Gleis 1/2,DB Station&Service,ACTIVE,available,ELEVATOR
4280,zu Gleis 14/17,DB Station&Service,ACTIVE,available,ELEVATOR
4280,zu Gleis 14/17,DB Station&Service,ACTIVE,available,ESCALATOR
4280,zu Gleis 14/17,DB Station&Service,ACTIVE,available,ESCALATOR
4280,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ELEVATOR
4280,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ESCALATOR
4280,zu Gleis 2/3,DB Station&Service,ACTIVE,available,ESCALATOR
